Kanji,Hiragana,Tiếng Việt,Từ loại,JLPT Level
お姉さん,おねえさん,Chị gái (người khác),Danh từ,N4
弟,おとうと,Em trai (mình),Danh từ,N4
妹,いもうと,Em gái (mình),Danh từ,N4
親,おや,Bố mẹ,Danh từ,N4
両親,りょうしん,Bố mẹ,Danh từ,N4
母親,ははおや,Mẹ,Danh từ,N4
父親,ちちおや,Bố,Danh từ,N4
夫,おっと,Chồng mình,Danh từ,N4
ご主人,ごしゅじん,Chồng người khác,Danh từ,N4
妻,つま,Vợ (mình),Danh từ,N4
奥さん,おくさん,Vợ (người khác),Danh từ,N4
息子,むすこ,Con trai,Danh từ,N4
娘,むすめ,Con gái,Danh từ,N4
伯父,おじ,Chú, cậu…,Danh từ,N4
伯母,おば,Cô, dì…,Danh từ,N4
孫,まご,Cháu,Danh từ,N4
先輩,せんぱい,Tiền bối, người đi trước,Danh từ,N4
後輩,こうはい,Hậu bối,Danh từ,N4
男性,だんせい,Nam giới,Danh từ,N4
女性,じょせい,Nữ giới,Danh từ,N4
国民,こくみん,Công dân, nhân dân, người dân,Danh từ,N4
市民,しみん,Người dân,Danh từ,N4
体,からだ,Cơ thể,Danh từ,N4
頭,あたま,Đầu,Danh từ,N4
顔,かお,Mặt,Danh từ,N4
髪,かみ,Tóc,Danh từ,N4
鼻,はな,Mũi,Danh từ,N4
首,くび,Cổ,Danh từ,N4
喉,のど,Họng,Danh từ,N4
腕,うで,Cánh tay, tay nghề,Danh từ,N4
指,ゆび,Ngón tay,Danh từ,N4
胸,むね,Lồng ngực,Danh từ,N4
お腹,おなか,Bụng,Danh từ,N4
腰,こし,Lưng, thắt eo,Danh từ,N4
お尻,おしり,Mông,Danh từ,N4
背中,せなか,Lưng,Danh từ,N4
骨,ほね,Xương,Danh từ,N4
仕事,しごと,Công việc,Danh từ,N4
社長,しゃちょう,Giam đốc,Danh từ,N4
部長,ぶちょう,Trưởng phòng,Danh từ,N4
課長,かちょう,Tổ trưởng,Danh từ,N4
同僚,どうりょう,Đồng nghiệp,Danh từ,N4
歯医者,はいしゃ,Nha sĩ,Danh từ,N4
警察,けいさつ,Cảnh sát,Danh từ,N4
店員,てんいん,Nhân viên quán,Danh từ,N4
駅員,えきいん,Nhân viên nhà ga,Danh từ,N4
会社員,かいしゃいん,Nhân viên công ty,Danh từ,N4
銀行員,ぎんこういん,Nhân viên ngân hàng,Danh từ,N4
運転手,うんてんしゅ,Người lái xe,Danh từ,N4
歌手,かしゅ,Ca sĩ,Danh từ,N4
アルバイト,アルバイト,Việc làm thêm,Danh từ,N4
面接,めんせつ,Phỏng vấn,Danh từ,N4
履歴書,りれきしょ,Sơ yếu lí lịch,Danh từ,N4
書類,しょるい,Giấy tờ, tài liệu,Danh từ,N4
給料,きゅうりょう,Lương,Danh từ,N4
出張,しゅっちょう,Công tác,Danh từ,N4
会議,かいぎ,Cuộc họp,Danh từ,N4
貿易,ぼうえき,Mậu dịch (thương mại),Danh từ,N4
食べ物,たべもの,Đồ ăn,Danh từ,N4
飲み物,のみもの,Đồ uống,Danh từ,N4
料理,りょうり,Món ăn, nấu ăn,Danh từ,N4
野菜,やさい,Rau,Danh từ,N4
玉ねぎ,たまねぎ,Hành lá,Danh từ,N4
人参,にんじん,Cà rốt,Danh từ,N4
茄子,なす,Cà,Danh từ,N4
米,こめ,Cơm, gạo,Danh từ,N4
朝食,ちょうしょく,Ăn sáng,Danh từ,N4
昼食,ちゅうしょく,Ăn trưa,Danh từ,N4
夕食,ゆうしょく,Ăn tối,Danh từ,N4
肉,にく,Thịt,Danh từ,N4
牛肉,ぎゅうにく,Thịt bò,Danh từ,N4
豚肉,ぶたにく,Thịt lợn,Danh từ,N4
鶏肉,とりにく,Thịt gà,Danh từ,N4
スープ,スープ,Súp,Danh từ,N4
サンドイッチ,サンドイッチ,Bánh sandwich,Danh từ,N4
サラダ,サラダ,Salad,Danh từ,N4
ケーキ,ケーキ,Bánh ngọt,Danh từ,N4
お湯,おゆ,Nước nóng,Danh từ,N4
和食,わしょく,Món ăn Nhật,Danh từ,N4
洋食,ようしょく,Món ăn kiểu Tây,Danh từ,N4
乗り物,のりもの,Phương tiện đi lại,Danh từ,N4
船,ふね,Thuyền, tàu thủy,Danh từ,N4
救急車,きゅうきゅうしゃ,Xe cấp cứu,Danh từ,N4
消防車,しょうぼうしゃ,Xe cứu hỏa,Danh từ,N4
新幹線,しんかんせん,Shinkansen,Danh từ,N4
普通（電車）,ふつう（でんしゃ）,Tàu thường,Danh từ,N4
急行（電車）,きゅうこう（でんしゃ）,Tàu tốc hành,Danh từ,N4
特急（電車）,とっきゅう（でんしゃ）,Tàu tốc hành đặc biệt,Danh từ,N4
地下鉄,ちかてつ,Tàu điện ngầm,Danh từ,N4
信号,しんごう,Đèn tín hiệu,Danh từ,N4
道路,どうろ,Đường xá,Danh từ,N4
交通,こうつう,Giao thông,Danh từ,N4
交通渋滞,こうつうじゅうたい,Tắc đường,Danh từ,N4
工事中,こうじちゅう,Đang thi công,Danh từ,N4
服,ふく,Quần áo,Danh từ,N4
洋服,ようふく,Quần áo kiểu tây,Danh từ,N4
和服,わふく,Quần áo kiểu Nhật,Danh từ,N4
コート,コート,Áo khoác,Danh từ,N4
スカート,スカート,Váy ngắn,Danh từ,N4
セーター,セーター,Áo len,Danh từ,N4
マフラー,マフラー,Khăn quàng cổ,Danh từ,N4
帽子,ぼうし,Mũ,Danh từ,N4
スーツ,スーツ,Áo vest,Danh từ,N4
ドレス,ドレス,Váy,Danh từ,N4
指輪,ゆびわ,Nhãn,Danh từ,N4
手袋,てぶくろ,Gang tay,Danh từ,N4
上着,うわぎ/ジャケット,Áo khoác,Danh từ,N4
下着,したぎ,Quần áo lót,Danh từ,N4
ネクタイ,ネクタイ,Cà vạt,Danh từ,N4
ズボン,ズボン,Quần,Danh từ,N4
ブーツ,ブーツ,Ủng, giày đi mưa,Danh từ,N4
スニーカー,スニーカー,Giày thể thao,Danh từ,N4
ハイヒール,ハイヒール,Giày cao gót,Danh từ,N4
サンダル,サンダル,Sandal,Danh từ,N4
靴下,くつした,Tất,Danh từ,N4
ポケット,ポケット,Túi áo, túi quần,Danh từ,N4
アクセサリー,アクセサリー,Trang sức, phụ kiện,Danh từ,N4
眼鏡,めがね,Kính,Danh từ,N4
北,きた,Phía Bắc,Danh từ,N4
南,みなみ,Phía Nam,Danh từ,N4
東,ひがし,Phía Đông,Danh từ,N4
西,にし,Phía Tây,Danh từ,N4
北東,ほくとう,Phía Đông Bắc,Danh từ,N4
北西,ほくせい,Phía Tây Bắc,Danh từ,N4
南東,なんとう,Phía Đông Nam,Danh từ,N4
南西,なんせい,Phía Tây Nam,Danh từ,N4
世界,せかい,Thế giới,Danh từ,N4
アジア,アジア,Châu Á,Danh từ,N4
ヨーロッパ,ヨーロッパ,Châu Âu,Danh từ,N4
北アメリカ,きたアメリカ,Bắc Mỹ,Danh từ,N4
南アメリカ,みなみアメリカ,Nam Mỹ,Danh từ,N4
色,いろ,Màu sắc,Danh từ,N4
青色,あおいろ,Màu xanh dương,Danh từ,N4
赤色,あかいろ,Màu đỏ,Danh từ,N4
黒色,くろいろ,Màu đen,Danh từ,N4
白色,しろいろ,Màu trắng,Danh từ,N4
黄色,きいろ,Màu vàng,Danh từ,N4
茶色,ちゃいろ,Màu nâu (màu trà),Danh từ,N4
銀色,ぎんいろ,Màu bạc,Danh từ,N4
病気,びょうき,Ốm, bệnh,Danh từ,N4
風邪,かぜ,Cảm, cúm,Danh từ,N4
熱,ねつ,Sốt,Danh từ,N4
咳,せき,Ho,Danh từ,N4
景色,けしき,Phong cảnh,Danh từ,N4
空気,くうき,Không khí,Danh từ,N4
湖,みずうみ,Hồ,Danh từ,N4
風,かぜ,Gió,Danh từ,N4
海,うみ,Biển,Danh từ,N4
林,はやし,Rừng (thưa),Danh từ,N4
森,もり,Rừng (rậm),Danh từ,N4
池,いけ,Cái ao,Danh từ,N4
光,ひかり,Ánh sáng,Danh từ,N4
音,おと,Âm thanh,Danh từ,N4
太陽,たいよう,Mặt trời,Danh từ,N4
雲,くも,Mây,Danh từ,N4
季節,きせつ,Mùa,Danh từ,N4
天気,てんき,Thời tiết,Danh từ,N4
天気予報,てんきよほう,Dự báo thời tiết,Danh từ,N4
梅雨,つゆ,Mùa mưa,Danh từ,N4
趣味,しゅみ,Sở thích,Danh từ,N4
買い物,かいもの,Mua sắm,Danh từ,N4
写真,しゃしん,Ảnh,Danh từ,N4
映画,えいが,Phim (điện ảnh),Danh từ,N4
旅行,りょこう,Du lịch,Danh từ,N4
